ANYO,MES,COD_PROV,NOM_PROV,COD_MUN,NOM_MUN,COD_SECTOR,DESC_SECTOR,COD_GRUPO,DESC_GRUPO,COD_GENERO,DESC_GENERO,RANGO_EDAD,NUM_CONTRATOS
2018,1,12,CASTELLAN,4,ALCALA DE XIVERT,A ,Agricultura,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,25-44,1
2018,1,12,CASTELLAN,60,FIGUEROLES,I ,Industria,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,12,CASTELLAN,5,ALCORA-L,C ,Construccion,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,1
2018,1,12,CASTELLAN,82,NULES,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,12,CASTELLAN,32,BURRIANA,S ,Servicios,3,"Tecnicos, profesionales de apoyo",H,Hombre,25-44,2
2018,1,12,CASTELLAN,74,"LLOSA, LA",A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,3,ALICANTE,132,TORREMANZANAS/TORRE DE LES MAÃ‡,C ,Construccion,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,1
2018,1,3,ALICANTE,76,GUARDAMAR DEL SEGURA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,3,ALICANTE,14,ALICANTE/ALACANT,C ,Construccion,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,1
2018,1,12,CASTELLAN,126,"VALL D'UIXO, LA",S ,Servicios,3,"Tecnicos, profesionales de apoyo",H,Hombre,<25  ,1
2018,1,12,CASTELLAN,99,SANT JORDI/SAN JORGE,S ,Servicios,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,12,CASTELLAN,80,MORELLA,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",M,Mujer,25-44,1
2018,1,12,CASTELLAN,27,BENICARLO,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,25-44,1
2018,1,12,CASTELLAN,48,CORTES DE ARENOSO,A ,Agricultura,9,Ocupaciones elementales,M,Mujer,25-44,1
2018,1,12,CASTELLAN,21,BETXI,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,H,Hombre,25-44,1
2018,1,46,VALENCIA,207,RAFELBUÃ‘OL/RAFELBUNYOL,I ,Industria,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),M,Mujer,25-44,6
2018,1,46,VALENCIA,147,LLIRIA,S ,Servicios,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,>44  ,1
2018,1,46,VALENCIA,82,CANET D'EN BERENGUER,S ,Servicios,9,Ocupaciones elementales,H,Hombre,<25  ,2
2018,1,46,VALENCIA,27,ALFARRASI,I ,Industria,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,<25  ,1
2018,1,46,VALENCIA,250,VALENCIA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,>44  ,2
2018,1,46,VALENCIA,34,ALMOINES,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,6
2018,1,46,VALENCIA,228,SERRA,S ,Servicios,3,"Tecnicos, profesionales de apoyo",H,Hombre,25-44,1
2018,1,46,VALENCIA,116,"ELIANA, L'",S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",M,Mujer,>44  ,4
2018,1,46,VALENCIA,17,ALZIRA,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,H,Hombre,<25  ,4
2018,1,46,VALENCIA,21,ALDAIA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,>44  ,11
2018,1,46,VALENCIA,250,VALENCIA,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",H,Hombre,25-44,5
2018,1,46,VALENCIA,105,CULLERA,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,25-44,2
2018,1,3,ALICANTE,14,ALICANTE/ALACANT,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,M,Mujer,25-44,4
2018,1,3,ALICANTE,11,"ALFAS DEL PI, L'",S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",H,Hombre,25-44,1
2018,1,3,ALICANTE,53,CASTALLA,I ,Industria,9,Ocupaciones elementales,H,Hombre,25-44,2
2018,1,3,ALICANTE,65,ELCHE/ELX,I ,Industria,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),M,Mujer,25-44,3
2018,1,3,ALICANTE,99,ORIHUELA,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",M,Mujer,<25  ,1
2018,1,3,ALICANTE,119,SANT JOAN D'ALACANT,S ,Servicios,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,3,ALICANTE,55,CATRAL,I ,Industria,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,25-44,3
2018,1,3,ALICANTE,14,ALICANTE/ALACANT,S ,Servicios,9,Ocupaciones elementales,M,Mujer,>44  ,2
2018,1,3,ALICANTE,14,ALICANTE/ALACANT,S ,Servicios,9,Ocupaciones elementales,H,Hombre,<25  ,8
2018,1,3,ALICANTE,99,ORIHUELA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,>44  ,1
2018,1,3,ALICANTE,99,ORIHUELA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,3,ALICANTE,14,ALICANTE/ALACANT,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",M,Mujer,25-44,1
2018,1,3,ALICANTE,56,COCENTAINA,S ,Servicios,9,Ocupaciones elementales,H,Hombre,>44  ,1
2018,1,3,ALICANTE,14,ALICANTE/ALACANT,C ,Construccion,2,Tecnicos y profesionales cientificos e intelectuales,H,Hombre,25-44,1
2018,1,3,ALICANTE,7,ALCOCER DE PLANES,S ,Servicios,3,"Tecnicos, profesionales de apoyo",M,Mujer,25-44,1
2018,1,3,ALICANTE,901,"POBLETS, ELS",S ,Servicios,9,Ocupaciones elementales,H,Hombre,>44  ,1
2018,1,3,ALICANTE,82,JAVEA/XABIA,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",H,Hombre,<25  ,1
2018,1,3,ALICANTE,41,BENISSA,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",H,Hombre,25-44,1
2018,1,3,ALICANTE,116,SALINAS,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,3,ALICANTE,89,MONOVAR/MONOVER,C ,Construccion,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,1
2018,1,3,ALICANTE,83,JIJONA/XIXONA,I ,Industria,3,"Tecnicos, profesionales de apoyo",H,Hombre,>44  ,1
2018,1,3,ALICANTE,31,BENIDORM,C ,Construccion,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,1
2018,1,3,ALICANTE,99,ORIHUELA,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,M,Mujer,25-44,1
2018,1,3,ALICANTE,52,CAÃ‘ADA,S ,Servicios,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,1
2018,1,3,ALICANTE,96,ONIL,I ,Industria,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,>44  ,1
2018,1,3,ALICANTE,71,GATA DE GORGOS,S ,Servicios,3,"Tecnicos, profesionales de apoyo",M,Mujer,25-44,1
2018,1,3,ALICANTE,92,MURO DE ALCOY,I ,Industria,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,>44  ,1
2018,1,3,ALICANTE,65,ELCHE/ELX,I ,Industria,2,Tecnicos y profesionales cientificos e intelectuales,H,Hombre,25-44,1
2018,1,3,ALICANTE,74,GRANJA DE ROCAMORA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,<25  ,1
2018,1,3,ALICANTE,88,MONFORTE DEL CID,I ,Industria,3,"Tecnicos, profesionales de apoyo",H,Hombre,<25  ,1
2018,1,3,ALICANTE,65,ELCHE/ELX,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",M,Mujer,<25  ,1
2018,1,3,ALICANTE,133,TORREVIEJA,S ,Servicios,9,Ocupaciones elementales,M,Mujer,25-44,1
2018,1,3,ALICANTE,79,IBI,I ,Industria,9,Ocupaciones elementales,H,Hombre,>44  ,1
2018,1,46,VALENCIA,21,ALDAIA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,161
2018,1,46,VALENCIA,21,ALDAIA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,>44  ,99
2018,1,46,VALENCIA,21,ALDAIA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,16
2018,1,46,VALENCIA,21,ALDAIA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,<25  ,31
2018,1,46,VALENCIA,136,GODELLETA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,24
2018,1,46,VALENCIA,250,VALENCIA,I ,Industria,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,32
2018,1,46,VALENCIA,250,VALENCIA,I ,Industria,9,Ocupaciones elementales,M,Mujer,<25  ,21
2018,1,46,VALENCIA,250,VALENCIA,S ,Servicios,4,"Empleados contables, administrativos y otros empleados de oficina",M,Mujer,25-44,2
2018,1,46,VALENCIA,211,REAL DE GANDIA,S ,Servicios,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,46,VALENCIA,193,PICANYA,S ,Servicios,9,Ocupaciones elementales,H,Hombre,>44  ,12
2018,1,46,VALENCIA,235,SUECA,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",M,Mujer,<25  ,13
2018,1,46,VALENCIA,244,TORRENT,S ,Servicios,5,"Trabajadores de los servicios de restauracion, personales, proteccion y vendedores",M,Mujer,25-44,1
2018,1,46,VALENCIA,250,VALENCIA,I ,Industria,8,"Operadores de instalaciones y maquinaria, y montadores",H,Hombre,25-44,37
2018,1,46,VALENCIA,85,CARLET,I ,Industria,7,Artesanos y trabajadores cualificados de las industrias manufactureras y la construccion (excepto operadores de instalaciones y maquinaria),H,Hombre,25-44,8
2018,1,46,VALENCIA,109,CHESTE,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,H,Hombre,25-44,9
2018,1,46,VALENCIA,250,VALENCIA,S ,Servicios,3,"Tecnicos, profesionales de apoyo",H,Hombre,25-44,67
2018,1,46,VALENCIA,181,OLIVA,S ,Servicios,9,Ocupaciones elementales,M,Mujer,25-44,5
2018,1,46,VALENCIA,21,ALDAIA,S ,Servicios,2,Tecnicos y profesionales cientificos e intelectuales,M,Mujer,>44  ,4
2018,1,46,VALENCIA,59,BENIFAIRO DE LA VALLDIGNA,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,>44  ,37
2018,1,12,CASTELLAN,5,ALCORA-L,A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,1
2018,1,12,CASTELLAN,4,ALCALA DE XIVERT,S ,Servicios,1,Directores y gerentes,H,Hombre,25-44,1
2018,1,12,CASTELLAN,40,CASTELLON DE LA PLANA/CASTELLAN,S ,Servicios,9,Ocupaciones elementales,M,Mujer,>44  ,2
2018,1,12,CASTELLAN,74,"LLOSA, LA",A ,Agricultura,9,Ocupaciones elementales,H,Hombre,25-44,3
2018,1,12,CASTELLAN,1,ATZENETA DEL MAESTRAT,S ,Servicios,6,"Trabajadores cualificados en el sector agricola, ganadero, forestal y pesquero",H,Hombre,>44  ,4
